City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,Baiyin,36.5583,104.2081,35.01,39,0,8.95,CN,2021-03-04 21:47:59
221,Atbasar,51.8,68.3333,11.26,93,52,14.58,KZ,2021-03-04 21:52:45
222,Kabo,7.6994,18.629,78.39,18,13,2.82,CF,2021-03-04 21:52:45
223,Pochutla,15.7432,-96.4661,89.6,45,40,13.8,MX,2021-03-04 21:49:37
224,Qui Nhon,13.7667,109.2333,73.63,91,32,3.67,VN,2021-03-04 21:51:32
225,Serenje,-13.2325,30.2352,63.81,93,100,1.19,ZM,2021-03-04 21:52:45
226,Touros,-5.1989,-35.4608,80.6,78,40,9.22,BR,2021-03-04 21:46:01
227,Sumkino,58.1108,68.3244,21.04,98,99,7.72,RU,2021-03-04 21:52:46
228,Saskylakh,71.9167,114.0833,-31.18,81,92,7.31,RU,2021-03-04 21:51:20
229,Tarakan,3.3,117.6333,77.0,85,70,7.96,ID,2021-03-04 21:52:46
230,Zalantun,48.0,122.7167,-1.97,83,27,8.43,CN,2021-03-04 21:52:47
231,San Jose,37.3394,-121.895,68.0,42,20,5.75,US,2021-03-04 21:52:47
232,Vardo,70.3705,31.1107,24.8,80,75,16.11,NO,2021-03-04 21:47:39
233,Vanimo,-2.6741,141.3028,77.79,85,99,7.87,PG,2021-03-04 21:47:56
234,Aguimes,27.9054,-15.4461,64.4,68,20,19.57,ES,2021-03-04 21:52:48
235,Mandalgovi,45.7625,106.2708,9.09,39,11,4.52,MN,2021-03-04 21:49:54
236,Cidreira,-30.1811,-50.2056,75.61,86,98,3.44,BR,2021-03-04 21:45:48
237,Bitkine,11.9801,18.2138,76.51,18,90,8.93,TD,2021-03-04 21:48:03
238,Vila,42.0304,-8.1588,53.01,76,99,5.01,PT,2021-03-04 21:52:49
239,Comodoro Rivadavia,-45.8667,-67.5,57.2,100,90,5.75,AR,2021-03-04 21:46:11
240,Half Moon Bay,37.4636,-122.4286,62.01,67,1,5.75,US,2021-03-04 21:52:49
241,Neiafu,-18.65,-173.9833,82.4,78,40,6.91,TO,2021-03-04 21:52:50
242,Roma,43.2128,-75.4557,26.6,43,1,20.71,US,2021-03-04 21:46:14
243,Dukat,62.55,155.55,-26.9,82,100,19.28,RU,2021-03-04 21:52:50
244,Zhob,31.3411,69.4481,53.01,39,0,4.12,PK,2021-03-04 21:52:51
245,Mabaruma,8.2,-59.7833,75.15,93,79,4.72,GY,2021-03-04 21:52:51
246,Colares,38.7992,-9.4469,54.0,88,84,7.16,PT,2021-03-04 21:52:52
247,Pringsewu,-5.3582,104.9744,72.23,95,81,0.25,ID,2021-03-04 21:52:52
248,Leningradskiy,69.3833,178.4167,0.73,91,100,32.64,RU,2021-03-04 21:51:28
249,Kagadi,0.9606,30.7967,69.06,72,18,3.94,UG,2021-03-04 21:52:53
250,Mangai,-4.05,19.5333,74.25,84,99,1.99,CD,2021-03-04 21:52:53
251,Sakaiminato,35.55,133.2333,50.0,93,90,12.66,JP,2021-03-04 21:51:22
252,Vestmannaeyjar,63.4427,-20.2734,40.86,72,40,5.32,IS,2021-03-04 21:49:29
253,Bay Roberts,47.5999,-53.2648,33.01,78,91,4.0,CA,2021-03-04 21:48:27
254,Moron,-34.6534,-58.6198,82.99,66,60,3.0,AR,2021-03-04 21:49:45
255,Basavana Bagevadi,16.5833,75.9667,69.19,32,6,7.81,IN,2021-03-04 21:52:54
256,Praia Da Vitoria,38.7333,-27.0667,57.2,82,20,8.95,PT,2021-03-04 21:47:31
