City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
114,Salalah,17.0151,54.0924,84.2,45,0,3.44,OM,2021-03-05 15:34:29,clear sky
115,Namtsy,62.7161,129.6658,-31.0,68,0,2.24,RU,2021-03-05 15:37:29,clear sky
116,Ossora,59.2353,163.0719,-20.0,79,0,5.55,RU,2021-03-05 15:37:29,clear sky
117,Dharchula,29.85,80.5333,55.54,36,47,7.38,IN,2021-03-05 15:37:29,scattered clouds
118,Fitiai,38.7,21.1833,57.2,67,40,8.05,GR,2021-03-05 15:37:29,scattered clouds
119,Huangmei,30.1924,116.025,52.29,89,99,7.09,CN,2021-03-05 15:37:30,overcast clouds
120,Nybro,56.7446,15.9071,39.2,38,0,11.5,SE,2021-03-05 15:37:30,clear sky
121,Saint-Philippe,-21.3585,55.7679,82.4,69,75,9.22,RE,2021-03-05 15:37:30,broken clouds
122,Moyale,3.5167,39.0584,80.49,35,79,10.69,KE,2021-03-05 15:37:30,broken clouds
123,Norilsk,69.3535,88.2027,-10.86,85,59,5.21,RU,2021-03-05 15:37:31,broken clouds
124,Thompson,55.7435,-97.8558,14.0,92,90,5.75,CA,2021-03-05 15:37:31,light snow
125,Narsaq,60.9167,-46.05,33.8,86,75,3.65,GL,2021-03-05 15:37:31,broken clouds
126,Sayyan,15.1718,44.3244,64.45,29,3,11.72,YE,2021-03-05 15:37:32,clear sky
127,Kattivakkam,13.2167,80.3167,80.6,69,20,6.91,IN,2021-03-05 15:37:33,few clouds
128,Saint George,37.1041,-113.5841,39.2,56,1,2.3,US,2021-03-05 15:37:33,clear sky
129,Wittmund,53.5667,7.7833,42.01,52,20,9.22,DE,2021-03-05 15:37:33,few clouds
130,Gat,31.61,34.7642,63.0,63,20,9.22,IL,2021-03-05 15:37:33,few clouds
131,Mao,39.8885,4.2658,59.0,55,20,9.22,ES,2021-03-05 15:37:34,few clouds
132,Nemuro,43.3236,145.575,36.97,92,15,17.07,JP,2021-03-05 15:37:34,few clouds
133,Ahipara,-35.1667,173.1667,59.18,82,8,5.64,NZ,2021-03-05 15:37:34,clear sky
134,Ribeira Grande,38.5167,-28.7,60.8,72,20,8.05,PT,2021-03-05 15:37:34,few clouds
135,Brownsville,25.9018,-97.4975,71.6,78,90,4.61,US,2021-03-05 15:34:59,overcast clouds
136,Rikitea,-23.1203,-134.9692,79.97,83,0,11.27,PF,2021-03-05 15:37:35,clear sky
137,Totness,5.8833,-56.3167,82.06,76,99,11.81,SR,2021-03-05 15:37:35,overcast clouds
138,Mandera,3.9366,41.867,91.35,22,100,10.92,KE,2021-03-05 15:37:35,overcast clouds
139,Lavrentiya,65.5833,-171.0,3.06,93,85,9.26,RU,2021-03-05 15:37:36,overcast clouds
140,Leningradskiy,69.3833,178.4167,-2.88,91,100,4.74,RU,2021-03-05 15:37:36,overcast clouds
141,Roma,43.2128,-75.4557,23.0,53,1,14.97,US,2021-03-05 15:37:36,clear sky
142,Solnechnyy,50.7214,136.6319,-10.44,86,53,3.58,RU,2021-03-05 15:37:37,broken clouds
143,Antalaha,-14.9003,50.2788,80.31,85,76,2.62,MG,2021-03-05 15:37:37,light rain
144,Jijiga,9.35,42.8,67.87,45,77,18.23,ET,2021-03-05 15:37:37,broken clouds
145,Astoria,46.1879,-123.8313,48.2,87,90,16.11,US,2021-03-05 15:37:37,moderate rain
146,Aswan,24.0934,32.907,72.45,20,0,10.33,EG,2021-03-05 15:37:38,clear sky
147,Carnarvon,-24.8667,113.6333,77.0,88,0,14.97,AU,2021-03-05 15:37:38,clear sky
148,Bouar,5.934,15.596,93.61,13,4,7.94,CF,2021-03-05 15:37:38,clear sky
149,Klaksvik,62.2266,-6.589,39.2,87,75,11.5,FO,2021-03-05 15:37:39,broken clouds
150,Niamey,13.5137,2.1098,102.2,5,24,10.36,NE,2021-03-05 15:37:39,few clouds
151,Shache,38.4167,77.2406,47.93,48,0,2.33,CN,2021-03-05 15:37:39,clear sky
152,Wenling,28.3669,121.36,55.0,92,99,6.82,CN,2021-03-05 15:37:39,overcast clouds
153,Souillac,-20.5167,57.5167,78.8,83,75,3.44,MU,2021-03-05 15:37:40,broken clouds
154,Griffith,41.5284,-87.4237,39.0,64,1,4.72,US,2021-03-05 15:32:47,clear sky
155,Tiksi,71.6872,128.8694,-24.75,86,72,4.32,RU,2021-03-05 15:37:40,broken clouds
156,Sabang,5.8933,95.3214,82.81,77,92,6.93,ID,2021-03-05 15:37:40,overcast clouds
157,Nanortalik,60.1432,-45.2371,35.06,87,14,3.94,GL,2021-03-05 15:37:41,few clouds
158,Upernavik,72.7868,-56.1549,-13.61,83,55,18.05,GL,2021-03-05 15:37:41,broken clouds
159,Methven,-43.6333,171.65,55.99,86,50,1.01,NZ,2021-03-05 15:37:42,scattered clouds
160,Acapulco,16.8634,-99.8901,78.8,69,75,2.33,MX,2021-03-05 15:37:42,broken clouds
161,Yima,34.7381,111.8839,52.0,99,100,20.6,CN,2021-03-05 15:37:42,overcast clouds
162,Seminole,28.7086,-81.2081,70.0,42,1,6.91,US,2021-03-05 15:35:09,clear sky
163,Raudeberg,61.9875,5.1352,37.0,100,75,8.05,NO,2021-03-05 15:37:43,moderate rain
164,Mahebourg,-20.4081,57.7,78.8,83,75,3.44,MU,2021-03-05 15:37:44,broken clouds
165,Cap Malheureux,-19.9842,57.6142,78.01,80,65,5.99,MU,2021-03-05 15:37:45,heavy intensity rain
166,Esperance,-33.8667,121.9,66.2,94,90,6.91,AU,2021-03-05 15:37:45,overcast clouds
167,Namibe,-15.1961,12.1522,84.2,61,20,12.66,AO,2021-03-05 15:37:46,few clouds
168,Ulaanbaatar,47.9077,106.8832,17.6,35,0,13.42,MN,2021-03-05 15:34:20,clear sky
169,Olafsvik,64.8945,-23.7142,41.63,85,96,14.61,IS,2021-03-05 15:37:46,overcast clouds
170,Neverkino,52.7854,46.7417,18.5,96,0,6.96,RU,2021-03-05 15:37:46,clear sky
171,Bambous Virieux,-20.3428,57.7575,78.8,83,75,3.44,MU,2021-03-05 15:37:47,broken clouds
172,Kaitangata,-46.2817,169.8464,54.0,87,94,6.51,NZ,2021-03-05 15:37:47,overcast clouds
173,Gwadar,25.1216,62.3254,75.74,74,0,7.83,PK,2021-03-05 15:37:48,clear sky
174,Chuy,-33.6971,-53.4616,77.29,62,2,13.67,UY,2021-03-05 15:37:48,clear sky
175,Barrow,71.2906,-156.7887,-11.2,64,75,21.85,US,2021-03-05 15:37:48,haze
176,Torbay,47.6666,-52.7314,37.99,70,75,14.97,CA,2021-03-05 15:37:49,broken clouds
177,Hay River,60.8156,-115.7999,8.6,78,100,1.14,CA,2021-03-05 15:37:49,overcast clouds
178,Fortuna,40.5982,-124.1573,53.01,74,100,5.99,US,2021-03-05 15:37:50,light rain
179,Monrovia,6.3005,-10.7969,82.4,83,75,4.61,LR,2021-03-05 15:37:50,light rain
180,Lingao,19.9103,109.6859,72.99,86,6,6.71,CN,2021-03-05 15:37:50,clear sky
181,Rabo De Peixe,37.8,-25.5833,60.8,72,20,14.97,PT,2021-03-05 15:37:50,few clouds
182,Pinkafeld,47.3667,16.1167,39.0,75,51,11.01,AT,2021-03-05 15:37:51,broken clouds
183,Tuatapere,-46.1333,167.6833,46.99,80,96,7.14,NZ,2021-03-05 15:37:51,overcast clouds
184,Los Llanos De Aridane,28.6585,-17.9182,71.6,64,40,11.5,ES,2021-03-05 15:37:52,scattered clouds
185,Pierre,44.3683,-100.351,30.2,100,90,3.44,US,2021-03-05 15:37:52,fog
186,Cherskiy,68.75,161.3,-5.85,91,100,13.67,RU,2021-03-05 15:37:52,light snow
187,Padang,-0.9492,100.3543,80.6,89,40,1.14,ID,2021-03-05 15:37:53,scattered clouds
188,Tessalit,20.1986,1.0114,91.06,13,11,14.25,ML,2021-03-05 15:37:53,few clouds
189,Hadrut,39.52,47.0318,37.78,84,68,2.57,AZ,2021-03-05 15:37:53,broken clouds
190,Kaohsiung,22.6163,120.3133,75.2,78,75,5.75,TW,2021-03-05 15:37:13,broken clouds
191,Barranca,-10.75,-77.7667,78.06,62,36,9.35,PE,2021-03-05 15:37:54,scattered clouds
192,Santa Isabel Do Rio Negro,-0.4139,-65.0192,86.79,62,99,3.51,BR,2021-03-05 15:37:54,light rain
193,Gap,44.6667,6.0,46.99,68,67,10.0,FR,2021-03-05 15:37:54,broken clouds
194,Yaan,7.3833,8.5667,103.84,8,1,7.56,NG,2021-03-05 15:37:54,clear sky
195,Vangaindrano,-23.35,47.6,77.9,86,100,3.87,MG,2021-03-05 15:37:55,light rain
196,Georgetown,5.4112,100.3354,86.0,78,20,4.61,MY,2021-03-05 15:33:24,few clouds
197,Cidreira,-30.1811,-50.2056,76.44,80,98,13.65,BR,2021-03-05 15:37:55,overcast clouds
198,Lincoln,40.8,-96.667,43.0,67,5,5.01,US,2021-03-05 15:37:39,clear sky
199,Cascais,38.6979,-9.4215,61.0,72,40,14.97,PT,2021-03-05 15:37:56,scattered clouds
200,Bathsheba,13.2167,-59.5167,84.2,58,40,19.57,BB,2021-03-05 15:37:56,scattered clouds
201,Abalak,58.1286,68.5944,24.67,98,93,8.59,RU,2021-03-05 15:37:56,light snow
202,Mongomo,1.6274,11.3135,86.36,52,59,2.37,GQ,2021-03-05 15:37:56,broken clouds
203,Norman Wells,65.282,-126.8329,-18.4,76,40,5.03,CA,2021-03-05 15:37:56,scattered clouds
204,La Ronge,55.1001,-105.2842,26.6,80,100,10.36,CA,2021-03-05 15:37:57,overcast clouds
205,Novobirilyussy,56.9514,90.6661,23.92,96,100,13.44,RU,2021-03-05 15:37:57,overcast clouds
206,Luderitz,-26.6481,15.1594,74.71,45,0,17.63,NA,2021-03-05 15:37:57,clear sky
207,Gizo,-8.103,156.8419,82.29,76,70,10.4,SB,2021-03-05 15:37:58,light rain
208,Srednekolymsk,67.45,153.6833,-3.19,91,100,21.27,RU,2021-03-05 15:37:58,light snow
209,Rocha,-34.4833,-54.3333,71.76,75,29,15.64,UY,2021-03-05 15:36:27,scattered clouds
210,Coahuayana,18.7333,-103.6833,71.6,60,1,2.53,MX,2021-03-05 15:37:59,clear sky
211,Roald,62.5833,6.1333,37.4,93,75,23.02,NO,2021-03-05 15:37:59,broken clouds
212,Mwene-Ditu,-7.0,23.45,75.15,87,90,3.91,CD,2021-03-05 15:38:00,overcast clouds
213,Miles City,46.4083,-105.8406,30.2,86,1,6.91,US,2021-03-05 15:38:00,clear sky
214,Angoram,-4.0625,144.0661,73.56,96,100,2.26,PG,2021-03-05 15:38:00,overcast clouds
215,Finschhafen,-6.6024,147.8681,81.21,77,100,6.51,PG,2021-03-05 15:38:00,overcast clouds
216,Talaya,61.3833,152.75,-29.63,82,87,0.89,RU,2021-03-05 15:38:01,overcast clouds
217,Comodoro Rivadavia,-45.8667,-67.5,75.2,57,20,11.5,AR,2021-03-05 15:38:01,few clouds
218,Krasnogorodsk,56.8357,28.2822,26.26,83,95,3.83,RU,2021-03-05 15:38:01,overcast clouds
219,Walvis Bay,-22.9575,14.5053,86.0,35,0,14.97,NA,2021-03-05 15:33:05,clear sky
220,Aykhal,66.0,111.5,-11.25,88,100,9.86,RU,2021-03-05 15:38:02,overcast clouds
221,Touros,-5.1989,-35.4608,87.8,62,75,14.97,BR,2021-03-05 15:38:02,broken clouds
222,Ligayan,4.6533,119.4706,82.09,80,99,11.83,PH,2021-03-05 15:38:03,overcast clouds
223,Tasiilaq,65.6145,-37.6368,37.4,87,75,2.3,GL,2021-03-05 15:38:03,broken clouds
224,Kununurra,-15.7667,128.7333,82.4,68,18,3.44,AU,2021-03-05 15:38:03,few clouds
225,Longyearbyen,78.2186,15.6401,8.6,72,75,28.77,SJ,2021-03-05 15:38:03,snow
226,Zuwarah,32.9312,12.082,67.15,41,0,13.22,LY,2021-03-05 15:38:04,clear sky
227,Dikson,73.5069,80.5464,-28.05,80,79,12.82,RU,2021-03-05 15:38:04,broken clouds
228,Kamina,-8.7386,24.9906,73.2,88,75,3.33,CD,2021-03-05 15:38:04,broken clouds
229,Kunfeherto,46.3609,19.4145,51.01,50,40,18.41,HU,2021-03-05 15:38:04,scattered clouds
230,Katobu,-4.9408,122.5276,75.92,89,100,3.11,ID,2021-03-05 15:38:05,moderate rain
231,Robertsport,6.7533,-11.3686,82.38,78,13,11.79,LR,2021-03-05 15:38:05,few clouds
232,Puerto Ayora,-0.7393,-90.3518,82.4,83,20,5.75,EC,2021-03-05 15:38:05,few clouds
233,Korla,41.7597,86.1469,43.02,60,78,1.3,CN,2021-03-05 15:38:06,broken clouds
234,Albanel,48.8832,-72.4487,3.2,55,100,14.97,CA,2021-03-05 15:34:03,overcast clouds
235,Finnsnes,69.2296,17.9811,28.4,74,75,10.36,NO,2021-03-05 15:38:06,light snow
236,Arapiraca,-9.7525,-36.6611,92.23,39,64,13.24,BR,2021-03-05 15:38:07,broken clouds
237,Lagoa,39.05,-27.9833,57.4,70,72,8.08,PT,2021-03-05 15:38:07,broken clouds
238,Ancud,-41.8697,-73.8203,71.6,43,0,3.44,CL,2021-03-05 15:38:07,clear sky
239,Lebu,-37.6167,-73.65,64.85,72,1,9.51,CL,2021-03-05 15:38:07,clear sky
240,Shingu,33.7333,135.9833,58.41,90,99,11.3,JP,2021-03-05 15:38:08,overcast clouds
241,Dunkirk,51.05,2.3667,45.0,60,1,5.01,FR,2021-03-05 15:34:31,clear sky
242,Telenesti,47.4997,28.3656,57.2,38,0,2.3,MD,2021-03-05 15:38:08,clear sky
243,Jacqueville,5.2052,-4.4146,87.8,79,20,16.11,CI,2021-03-05 15:38:08,few clouds
244,Rio Claro,-22.4114,-47.5614,81.0,65,75,14.97,BR,2021-03-05 15:36:47,broken clouds
245,Zwedru,6.0667,-8.1281,83.26,76,98,4.56,LR,2021-03-05 15:38:09,light rain
246,Kovernino,57.1253,43.8142,14.27,96,69,5.95,RU,2021-03-05 15:38:09,broken clouds
247,Mehamn,71.0357,27.8492,23.0,79,0,9.22,NO,2021-03-05 15:38:10,clear sky
